CZAS;Dwutlenek azotu;Tlenek azotu;Tlenki azotu
00:00;42.8309;14.0215;64.3276
01:00;45.5869;30.4763;92.3082
02:00;39.8843;12.2601;58.6825
03:00;35.628;11.55;53.3289
04:00;38.4726;12.1205;57.0536
05:00;41.7379;11.9386;60.0464
06:00;37.3865;10.4904;53.4733
07:00;40.5408;15.0856;63.693
08:00;38.6006;22.0594;72.4297
09:00;39.8286;36.3234;95.5272
10:00;41.0151;49.6486;117.116
11:00;46.681;47.4608;119.446
12:00;52.7521;42.8618;118.454
13:00;42.5537;28.4946;86.1446
14:00;30.7242;17.6547;57.7844
15:00;34.6826;18.0645;62.3806
16:00;61.1819;33.4504;112.487
17:00;80.4214;53.7911;162.841
18:00;90.5252;69.6827;197.369
19:00;88.3509;62.2374;183.809
20:00;80.5143;47.1491;152.806
21:00;78.5758;52.357;158.854
22:00;69.3732;35.9174;124.438
23:00;50.4858;24.3096;87.7603
