CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;39;3;9;25;13;15;62
01:00;11;2;41;4;4;0;12
02:00;9;2;48;9;6;0;9
03:00;4;2;56;10;4;0;4
04:00;7;2;51;5;3;0;7
05:00;16;3;37;3;3;5;23
06:00;26;3;20;7;3;24;63
07:00;30;4;8;14;10;72;141
08:00;32;4;5;28;14;130;231
09:00;32;3;14;20;9;39;92
10:00;27;3;20;17;6;22;62
11:00;24;2;28;18;6;11;41
12:00;19;2;38;9;5;9;34
13:00;11;3;54;4;3;4;17
14:00;8;2;57;4;3;0;9
15:00;12;2;51;6;5;3;16
16:00;25;2;39;9;6;9;40
17:00;39;3;18;15;11;16;64
18:00;27;2;39;14;10;5;36
19:00;24;2;39;10;8;11;41
20:00;30;3;31;11;6;16;55
21:00;40;3;10;23;10;33;91
22:00;36;3;14;24;13;48;110
23:00;34;3;20;22;12;11;52
