CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;21;22;16;5;4;27
01:00;22;21;12;3;4;27
02:00;53;6;23;12;24;89
03:00;53;8;22;11;21;84
04:00;41;25;23;12;8;53
05:00;50;11;19;9;11;67
06:00;57;9;30;12;32;105
07:00;41;29;27;11;9;54
08:00;35;28;15;5;9;48
09:00;42;19;16;5;14;63
10:00;38;12;;;18;65
11:00;;9;;;;
12:00;36;15;10;5;13;57
13:00;35;17;9;4;12;53
14:00;39;15;9;3;14;62
15:00;34;17;9;3;12;53
16:00;44;10;16;8;25;82
17:00;49;4;16;7;36;104
18:00;48;6;18;6;38;105
19:00;46;8;17;6;24;82
20:00;48;7;18;6;29;91
21:00;44;11;12;6;16;68
22:00;41;14;12;5;13;61
23:00;29;21;15;6;7;38
