CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;52;3;23;35;53;132
01:00;55;2;6;38;75;169
02:00;16;4;44;20;1;18
03:00;11;2;45;10;1;13
04:00;11;3;42;10;1;13
05:00;11;2;40;10;1;13
06:00;14;2;40;8;2;16
07:00;12;2;42;7;1;13
08:00;11;2;33;9;1;12
09:00;6;3;39;8;1;7
10:00;6;1;45;3;1;6
11:00;7;1;44;6;1;7
12:00;6;3;49;18;1;6
13:00;6;4;58;16;1;7
14:00;6;2;70;13;0;6
15:00;7;;79;18;0;7
16:00;6;3;87;15;0;6
17:00;5;3;90;18;0;5
18:00;7;6;95;22;0;7
19:00;9;3;95;18;0;9
20:00;13;3;89;17;0;13
21:00;30;3;65;20;1;31
22:00;48;3;39;27;3;53
23:00;42;3;42;23;2;45
