CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;31;13;28;15;52
01:00;31;12;28;12;49
02:00;8;9;4;3;11
03:00;13;8;;4;18
04:00;6;9;2;2;8
05:00;6;9;3;4;11
06:00;10;6;2;7;20
07:00;14;15;2;7;23
08:00;29;12;2;13;49
09:00;31;9;2;16;54
10:00;26;17;2;11;41
11:00;20;22;1;8;31
12:00;21;22;2;8;32
13:00;20;22;2;8;30
14:00;19;24;2;7;28
15:00;23;20;3;10;37
16:00;25;21;5;10;39
17:00;35;21;5;11;50
18:00;37;21;4;11;53
19:00;38;20;5;14;57
20:00;50;13;11;26;88
21:00;55;11;23;43;119
22:00;49;11;24;44;114
23:00;36;12;26;16;59
