CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;67;1;28;12;14;89
01:00;77;3;2;23;56;163
02:00;38;1;26;22;6;47
03:00;48;1;3;28;13;68
04:00;40;1;3;24;46;109
05:00;37;1;2;21;84;165
06:00;31;3;2;23;90;168
07:00;28;3;12;24;37;86
08:00;24;3;27;17;10;39
09:00;23;3;38;13;8;36
10:00;17;3;70;12;4;24
11:00;14;;91;10;3;18
12:00;13;1;106;10;2;16
13:00;13;1;98;19;2;17
14:00;9;1;102;7;1;11
15:00;11;1;101;3;1;14
16:00;16;1;96;6;2;19
17:00;7;1;110;8;1;9
18:00;7;1;110;10;0;8
19:00;9;2;108;9;0;10
20:00;13;2;94;20;1;15
21:00;42;3;51;25;6;52
22:00;68;1;20;21;16;92
23:00;37;1;51;6;4;43
