CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Tlenek azotu;Tlenki azotu
00:00;20;2;13;2;24
01:00;17;2;14;1;19
02:00;21;1;3;43;87
03:00;24;2;4;38;82
04:00;23;;3;30;69
05:00;24;1;3;43;89
06:00;24;2;3;120;208
07:00;33;;3;173;298
08:00;49;2;5;299;505
09:00;67;3;4;341;589
10:00;53;5;4;202;362
11:00;63;8;4;173;327
12:00;66;19;10;76;181
13:00;57;35;44;15;79
14:00;61;45;47;15;84
15:00;52;29;57;9;65
16:00;32;19;82;3;37
17:00;28;15;84;2;30
18:00;54;6;51;6;63
19:00;146;1;6;400;740
20:00;119;2;6;447;783
21:00;85;2;5;221;423
22:00;51;2;4;33;100
23:00;24;2;9;4;29
