CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;65.9709;3.69004;4.78667;56.5236;34.9955;20.7;65.4187;165.4
01:00;55.4887;3.37872;4.69983;44.835;35.9778;17.6;56.7638;141.8
02:00;45.5188;2.81307;12.9478;34.581;28.5546;17.5;14.1798;67.1
03:00;37.4023;2.3975;13.6263;24.8378;26.4103;18.2;5.85749;46.4
04:00;39.0709;2.8052;6.7149;14.9514;25.406;14.6;15.8221;63.1
05:00;34.1662;2.74802;7.38456;8.26583;10.4958;10;13.4285;54.6
06:00;39.484;2.8217;8.38083;8.01759;21.4745;10.8;19.0494;68.4
08:00;49.0971;3.55459;5.64235;8.02291;38.3521;20;54.9141;132.6
09:00;36.2322;2.94791;8.19721;8.44922;26.9509;19.9;17.3756;62.7
10:00;32.5364;3.25971;18.1742;10.1335;34.2724;19.3;14.8314;55
11:00;26.9186;3.19748;26.4829;11.8254;31.2094;16.2;8.69511;40.1
12:00;16.5103;3.07352;44.6071;15.698;26.2836;17.3;3.74348;22.1
13:00;17.9099;4.113;68.9524;23.4777;21.0496;6;3.30807;22.9
14:00;16.5788;3.29359;78.9417;32.4223;33.6184;12.8;2.72475;20.7
15:00;17.3026;3.10524;87.1732;42.2714;21.766;10.6;2.4892;21.1
16:00;16.8046;2.4459;96.5674;53.637;14.8189;7.9;2.24292;20.1
17:00;19.0343;2.56511;102.659;65.4447;17.3052;8.8;2.57095;23
18:00;23.1686;3.1733;105.52;76.363;15.435;5.7;2.61841;27.2
19:00;22.4193;3.60129;102.473;85.8617;19.0286;7;2.19962;25.7
20:00;27.1391;3.32953;97.215;92.4377;15.9942;7.7;1.69667;29.7
21:00;61.8143;3.50239;82.2943;94.1055;24.669;5.8;1.95819;64.8
22:00;87.5825;4.14391;38.9014;89.1004;18.518;12.1;91.0657;226.1
23:00;90.8032;4.65533;11.2515;79.6102;27.2923;18.4;161.592;336.4
00:00;63.1981;3.85995;5.57672;68.2364;37.9978;23.8;116.464;240.3
01:00;50.4421;3.70132;5.278;56.0637;44.1527;32.6;84.821;179.3
