CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;0.969507;34.501;23.4468;11.6984;26.4101;325.792;625.181;74.9822
01:00;4.2084;30.6925;54.1113;45.4472;24.2278;652.18;1368.32;67.8605
02:00;1.92515;10.0783;10.6751;8.70912;6.29977;201.314;1183.15;19.7517
03:00;0.891503;7.41713;8.32981;6.71378;2.74444;159.335;971.042;11.5981
04:00;0.543762;7.89325;8.03907;6.39526;4.07249;151.647;784.94;14.1413
05:00;0.454174;14.4968;8.15958;6.23448;11.9871;176.506;626.415;32.868
06:00;0.514376;34.1731;11.4023;7.70213;35.6105;284.477;504.364;88.8009
07:00;0.651718;44.3673;16.8977;8.6431;62.721;433.321;394.84;140.631
08:00;0.842139;66.27;35.9307;12.0018;99.0783;660.22;339.875;218.282
09:00;0.840279;50.3969;51.2858;14.047;67.2299;496.086;320.363;153.36
10:00;0.747082;48.3904;50.6984;14.2198;58.9246;421.879;347.934;138.655
11:00;0.725305;43.1318;35.1655;11.216;48.4259;374.019;374.769;117.415
12:00;0.680942;49.2411;28.9394;9.1899;64.3916;480.007;415.814;147.924
13:00;0.587135;41.273;28.8903;9.07551;50.1114;347.964;437.247;118.237
14:00;0.647551;43.1838;26.5794;8.83966;47.7185;348.496;445.249;116.362
15:00;0.773037;51.4363;27.9951;10.4888;55.1119;409.45;442.265;135.985
16:00;0.998999;60.8244;36.7591;14.7919;69.3505;606.43;435.541;167.217
17:00;1.27864;66.854;44.4488;17.7197;92.4675;695.68;460.491;208.704
18:00;1.69181;77.646;49.549;23.0423;125.928;987.1;531.143;270.947
19:00;1.84942;80.8444;67.1165;30.5207;114.476;847.53;590.332;256.495
20:00;1.81664;64.585;52.2896;25.4923;87.2623;632.65;609.412;198.464
21:00;1.48989;52.2058;40.1567;18.8325;57.9315;567.37;636.838;140.996
22:00;1.22836;38.6899;26.2291;13.161;34.8831;411.932;644.768;92.171
23:00;1.1473;47.317;31.1559;14.7934;44.2172;533.396;660.261;115.183
