CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;91;67;56;1040
01:00;82;68;54;880
02:00;72;86;73;1200
03:00;66;72;64;850
04:00;59;64;57;640
05:00;61;61;55;610
06:00;70;56;48;750
07:00;92;63;52;1820
08:00;98;64;51;1850
09:00;99;65;48;1330
10:00;86;50;37;760
11:00;81;40;31;590
12:00;87;34;27;590
13:00;90;28;20;480
14:00;96;29;20;540
15:00;94;30;20;610
16:00;104;29;21;700
17:00;111;32;21;720
18:00;125;34;23;930
19:00;124;41;29;1030
20:00;116;37;28;900
21:00;115;50;40;1270
22:00;114;62;50;1520
23:00;115;68;54;1590
