CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;89;30;860;89
01:00;41;89;35;790;94
02:00;22;37;5;340;30
03:00;27;18;14;380;48
04:00;47;25;46;510;117
05:00;51;28;88;710;186
06:00;63;35;188;1430;350
07:00;71;53;165;1690;323
08:00;68;63;132;1280;271
09:00;57;85;69;850;162
10:00;57;64;55;800;140
11:00;54;40;53;740;135
12:00;55;37;48;760;127
13:00;57;38;58;850;145
14:00;57;41;52;850;136
15:00;57;44;64;960;154
16:00;70;40;71;1180;179
17:00;71;43;89;1230;207
18:00;74;38;94;1480;217
19:00;83;81;144;1740;303
20:00;76;61;114;1510;250
21:00;64;105;95;1140;208
22:00;55;115;73;1120;166
23:00;53;105;60;1060;143
