CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;73;74;32;123;260
01:00;65;67;29;94;207
02:00;65;36;17;61;157
03:00;50;25;15;42;114
04:00;55;29;17;60;146
05:00;50;28;17;49;123
06:00;64;39;25;155;299
07:00;77;54;34;250;459
08:00;86;59;33;248;465
09:00;77;79;33;170;336
10:00;75;68;28;141;289
11:00;73;51;20;115;247
12:00;74;42;17;94;217
13:00;82;47;17;93;223
14:00;78;43;15;91;216
15:00;94;37;13;101;247
16:00;94;44;13;112;264
17:00;96;31;11;99;245
18:00;94;31;11;105;253
19:00;86;27;9;94;229
20:00;100;35;13;126;292
21:00;113;41;16;165;365
22:00;109;60;23;200;415
23:00;93;75;30;167;348
