CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;3.14589;84.366;62.9797;26.6464;146.21;1019.75;1130.75;308.674
00:00;3.07951;90.8537;72.671;31.0514;160.086;1285.6;1202.97;336.486
01:00;3.02822;74.6421;67.1515;33.9349;109.833;1101.87;1255.13;242.4
02:00;3.06537;68.4052;65.1801;39.4601;99.618;1235.2;1338.91;220.6
03:00;2.85895;65.3683;52.0832;33.4893;85.9477;997.11;1323.44;196.7
04:00;2.39518;62.4329;43.4837;26.6918;79.5676;693.31;1218.39;184
05:00;2.26645;66.947;59.3663;23.7016;126.079;724.66;1011.27;259.6
06:00;2.78482;99.9016;105.534;44.2739;359.516;1514.23;1071.47;649.2
07:00;3.61357;130.369;128.472;52.1232;569.961;2342.9;1236.86;1001.4
08:00;4.19332;128.488;154.76;57.4027;461.976;2114.79;1340.51;834.4
09:00;4.28741;120.599;174.548;60.2315;379.173;1739.83;1420.25;700
10:00;3.80117;102.084;126.518;45.7705;230.285;1110.91;1404.72;454
11:00;3.35069;95.5544;107.834;38.8685;198.323;972.03;1401.58;398.6
12:00;2.5972;76.9711;85.8307;32.2113;138.418;762.33;1410.21;288.5
13:00;2.03844;81.0852;76.9302;30.1146;148.885;832.06;1423.64;308.6
14:00;2.13354;86.0026;80.1625;30.1754;150.97;895.62;1346.31;316.7
15:00;2.01762;81.4741;67.3195;23.018;127.429;791.3;1152.36;276.2
16:00;1.64348;73.9954;67.9459;15.3585;98.8296;722.45;978.316;225
17:00;1.52328;73.599;47.0462;14.162;94.4793;721.21;850.989;218
18:00;1.54328;68.0199;42.6513;16.3519;84.1344;652.72;793.715;196.5
19:00;1.86662;89.8988;57.5868;23.1067;156.657;903.75;785.18;329.3
20:00;2.05821;91.3314;65.3535;26.5882;154.522;937.92;807.129;327.4
21:00;2.05954;88.1877;69.877;28.1331;156.003;1012.72;829.711;326.6
22:00;1.77181;66.21;45.6979;19.5927;76.7781;667.48;801.194;183.6
23:00;1.59562;56.9739;41.5438;18.9312;57.8078;653.63;783.985;145.3
00:00;1.30763;30.0336;25.7014;14.6362;15.6537;418.747;746.022;54
