CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;45;56;790;130
01:00;40;39;680;100
02:00;34;61;950;127
03:00;32;56;1040;119
04:00;32;61;900;126
05:00;30;52;860;109
06:00;31;67;1050;133
07:00;32;73;1030;142
08:00;36;98;1230;185
09:00;37;119;1170;219
10:00;40;101;1050;194
11:00;43;109;1210;211
12:00;44;109;1200;211
13:00;48;101;990;202
14:00;;;1010;
15:00;51;86;950;183
16:00;58;88;1100;192
17:00;63;119;1070;244
18:00;65;117;1180;244
19:00;68;145;1450;290
20:00;62;113;1120;233
21:00;57;85;950;188
22:00;57;83;860;186
23:00;59;114;1320;234
