CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;49.4479;110.087;87.8858;23.6216;815.439;979.905;85.5
01:00;31.6166;58.1817;49.2298;8.34347;670.597;669.308;44.4
02:00;26.2836;51.5917;44.2651;6.65967;533.949;656.78;36.5
03:00;22.542;48.7507;39.6415;3.74654;502.679;632.403;28.3
04:00;22.321;49.7499;39.8242;4.537;452.852;608.124;29.3
05:00;22.1754;47.1143;37.9474;6.47713;399.528;565.532;32.1
06:00;37.4018;50.009;40.1151;23.0792;478.159;527.954;72.7
07:00;60.6761;69.3613;47.4055;62.7445;679.83;531.453;156.6
08:00;68.9637;76.2457;49.5993;109.747;811.566;566.145;236.7
09:00;73.1377;80.0334;51.6291;118.286;734.53;574.137;253.9
10:00;64.974;75.7288;42.9101;74.7455;624.742;585.486;179.2
11:00;60.9471;60.2183;34.2333;66.2469;556.576;592.223;162.2
12:00;54.9961;49.0249;30.0917;42.618;476.871;595.225;120.1
13:00;64.8837;56.496;35.568;54.2922;523.061;610.667;147.8
14:00;70.6104;;;54.8081;543.331;618.813;154.4
15:00;71.5395;65.6653;32.711;61.3274;594.61;608.161;165.3
16:00;72.4939;62.5384;34.0352;61.3244;645.76;587.435;166.2
17:00;80.8872;63.6664;37.934;71.3906;714.751;584.963;190
18:00;87.4464;63.0529;39.2128;83.1316;820.869;609.479;214.5
19:00;95.3136;83.3768;53.9006;114.465;993.2;664.057;270.2
20:00;92.9394;101.194;63.4491;104.236;1043.06;734.83;252.2
21:00;111.306;134.132;82.5474;198.667;1466.08;852.708;414.9
22:00;76.3563;100.123;77.47;83.1967;1069.89;918.527;203.5
23:00;57.9501;102.183;78.446;35.6542;915.95;958.695;112.4
