CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;33;56;45;50;720;107
01:00;19;46;40;61;900;112
02:00;17;39;35;45;810;87
03:00;16;30;27;34;680;68
04:00;14;27;25;29;620;58
05:00;16;22;21;47;620;87
06:00;24;27;25;102;790;180
07:00;42;37;33;224;1210;385
08:00;52;35;33;268;1360;461
09:00;52;35;33;256;1300;443
10:00;50;53;45;261;1270;449
11:00;49;65;46;225;1130;393
12:00;42;50;38;227;1100;388
13:00;57;65;45;270;1310;470
14:00;54;64;43;244;1310;427
15:00;45;67;46;237;1270;407
16:00;53;68;48;259;1420;448
17:00;45;52;38;171;1240;306
18:00;50;59;44;271;1490;463
19:00;52;104;71;317;1510;536
20:00;42;85;58;139;1090;254
21:00;43;66;47;115;980;219
22:00;39;51;42;81;830;163
23:00;35;62;50;69;850;141
