CZAS;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;217;169;2490
01:00;68;55;1100
02:00;73;60;1090
03:00;72;59;1020
04:00;103;85;1150
05:00;109;88;1180
06:00;122;100;1300
07:00;106;88;1220
08:00;125;101;1430
09:00;132;106;1550
10:00;168;134;1820
11:00;180;145;1950
12:00;157;127;1880
13:00;146;117;1790
14:00;142;115;1980
15:00;139;113;2090
16:00;145;117;2140
17:00;169;137;2210
18:00;186;147;2600
19:00;199;157;2620
20:00;202;163;2480
21:00;217;175;2550
22:00;190;151;2400
23:00;204;164;2450
