CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;60;83;70;168
01:00;46;70;20;77
02:00;46;89;37;102
03:00;44;70;34;97
04:00;43;59;44;109
05:00;41;63;60;131
06:00;41;61;108;205
07:00;59;83;288;500
08:00;53;101;224;396
09:00;79;117;327;578
10:00;80;140;179;352
11:00;74;123;102;229
12:00;80;98;110;249
13:00;78;82;99;228
14:00;79;73;95;223
15:00;85;64;88;218
16:00;95;51;119;277
17:00;102;48;122;288
18:00;107;62;162;353
19:00;114;63;228;463
20:00;105;71;202;414
21:00;105;79;188;392
22:00;91;82;179;365
23:00;83;93;128;278
