CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;2;7;380;41
01:00;21;2;5;370;29
02:00;22;1;1;490;25
03:00;19;1;2;480;22
04:00;17;1;2;390;20
05:00;13;1;1;360;15
06:00;14;1;2;350;16
07:00;16;1;3;360;21
08:00;20;2;3;410;25
09:00;18;2;4;410;24
10:00;24;2;7;490;34
11:00;24;2;10;490;40
12:00;14;2;5;380;22
13:00;12;1;5;320;19
14:00;13;2;5;290;20
15:00;18;2;6;350;27
16:00;20;5;8;440;32
17:00;15;5;5;320;22
18:00;23;9;10;330;37
19:00;15;2;5;260;23
20:00;28;1;8;340;39
21:00;49;1;26;520;88
22:00;48;2;25;510;87
23:00;36;2;12;390;54
