CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;9.578;38.4853;1.64487;108.701;1915.37;1956.85;205.25
01:00;4.86864;35.2169;1.42024;18.3924;929.661;852.593;63.4248
02:00;4.54344;34.0036;1.99687;14.6145;973.25;881.41;56.4234
03:00;4.09112;31.4279;1.89269;16.3568;978.6;906.453;56.5196
04:00;3.90808;30.2201;1.9518;17.3821;986.74;926.568;56.8974
05:00;3.10904;30.0995;1.56241;16.963;997.25;949.178;56.1226
06:00;4.37466;26.9079;1.66511;19.502;1047.78;978.142;56.8294
07:00;4.29299;24.8159;1.90599;24.6199;1082.77;995.13;62.5843
08:00;4.75446;22.2466;1.84836;28.3585;1099.37;1011.93;65.7493
09:00;3.64408;23.473;1.28828;34.2395;1099.56;1033.16;75.9987
10:00;5.00214;26.5795;2.03012;38.011;1129.07;1052.64;84.8883
11:00;3.15229;26.4818;2.71064;33.0109;1056.8;1062.42;77.1311
12:00;4.43758;25.2659;3.91133;21.6794;1122.42;1079.38;58.5155
13:00;3.61581;30.8158;7.25525;12.3921;1012.84;1081.33;49.8241
14:00;3.22224;34.4669;5.72353;8.66492;794.43;1049.66;47.758
15:00;3.87453;40.6008;4.73121;9.6982;613.677;991.021;55.477
16:00;3.71616;54.7915;3.48913;19.0607;657.86;935.832;84.0338
17:00;5.342;75.3398;2.94236;161.29;1508.61;986.963;322.794
18:00;6.667;56.8868;2.19977;109.024;1226.81;999.181;224.128
19:00;10.362;51.5086;2.69187;238.465;1633.8;1071.31;417.326
20:00;11.254;49.4771;2.90911;288.5;2322.32;1221.29;492.1
21:00;11.987;36.2439;2.6734;209.794;2179.68;1367.15;358.072
22:00;10.325;28.763;2.13253;172.344;2409.77;1569.07;293.156
23:00;13.158;23.7759;2.25888;170.813;2458.44;1799.66;285.813
