CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;50;9;105;90;187
01:00;44;9;121;63;140
02:00;23;12;20;0;24
03:00;16;10;12;0;17
04:00;17;9;32;0;19
05:00;24;8;22;3;30
06:00;40;7;17;19;69
07:00;39;8;19;39;99
08:00;34;7;38;14;55
09:00;29;10;23;9;42
10:00;34;13;47;11;51
11:00;25;11;30;12;42
12:00;26;15;25;9;38
13:00;29;17;20;10;43
14:00;26;16;10;10;41
15:00;26;25;19;8;38
16:00;24;19;26;5;32
17:00;25;14;24;5;33
18:00;39;14;11;4;46
19:00;59;12;40;14;80
20:00;64;12;76;36;118
21:00;61;12;75;35;114
22:00;53;11;93;57;139
23:00;54;10;102;94;199
