CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;3.3;52;3;65;46;121
01:00;3.6;44;3;63;38;103
02:00;4.2;31;4;53;3;36
03:00;5.3;26;4;48;1;28
04:00;6.3;21;4;46;1;24
05:00;4.6;20;4;40;4;26
06:00;1.6;27;4;39;36;83
07:00;2.1;32;6;41;24;68
08:00;1.4;32;5;57;16;56
09:00;0.5;21;5;61;6;30
10:00;0.5;13;4;53;3;17
11:00;0.5;12;5;37;2;15
12:00;0.5;12;4;22;3;16
13:00;0.5;13;3;21;4;18
14:00;0.5;13;3;17;2;16
15:00;0.5;12;3;11;2;15
16:00;0.5;15;2;11;4;20
17:00;0.5;20;2;18;4;27
18:00;0.5;11;3;19;1;13
19:00;0.5;18;2;15;2;22
20:00;0.5;15;2;24;0;15
21:00;1.4;35;2;38;9;49
22:00;1;77;6;54;81;201
23:00;2.7;61;5;57;82;186
