CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;14;16;17;12;2;210;16
01:00;23;21;37;27;12;430;41
02:00;7;18;4;4;1;220;8
03:00;6;14;4;4;1;180;8
04:00;10;18;4;4;1;170;10
05:00;11;17;4;4;1;170;13
06:00;18;15;4;4;6;200;26
07:00;33;13;4;4;19;360;62
08:00;37;13;4;4;20;360;66
09:00;53;12;14;7;39;480;113
10:00;38;16;11;5;17;370;63
11:00;52;14;21;13;39;;112
12:00;44;11;18;13;28;490;86
13:00;27;11;9;5;10;270;42
14:00;24;11;9;4;10;250;39
15:00;28;10;8;4;12;320;45
16:00;37;11;13;7;15;330;58
17:00;35;12;15;10;13;380;55
18:00;30;10;12;8;9;260;44
19:00;31;11;29;22;8;280;42
20:00;27;13;26;19;6;210;36
21:00;29;15;42;32;7;290;38
22:00;24;16;31;23;6;280;32
23:00;21;17;25;18;6;260;29
