CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;3.54389;27.3256;1.58817;53.6158;32.5204;39.1468;646.523;553.94;86.7
01:00;2.78708;21.5425;1.15739;47.6256;31.1072;23.9046;598.745;587.448;57.8
02:00;5.06894;17.3917;1.90793;49.1815;32.3779;20.6957;589.092;609.637;48.9
03:00;3.77727;15.8875;1;48.0116;31.7849;13.2896;531.441;604.976;36.1
04:00;3.88704;15.0136;2.40789;46.2506;32.1383;8.163;437.771;583.446;27.5
05:00;3.27241;13.6461;1.6458;51.752;32.0496;10.5711;425.918;562.289;29.7
06:00;1.58689;14.2067;1.95096;65.8949;38.293;17.5491;473.566;543.297;40.8
07:00;3.0475;11.5258;1.69974;55.1964;37.5994;9.43494;403.397;513.307;25.8
08:00;3.72586;29.3343;2.00712;67.338;39.5578;33.4937;770.402;528.791;80.2
09:00;6.41973;36.0845;4.20014;86.5361;42.5215;15.5917;1202.92;604.313;59.8
10:00;2.40851;28.6291;6.55128;65.2061;32.3689;10.1142;542.094;598.439;44
11:00;1.09539;15.2307;5.82348;41.3124;24.2786;5.00012;357.949;576.752;22.8
12:00;1.17469;17.2367;5.84121;41.9038;22.0901;4.24604;357.299;566.693;23.6
13:00;1.31605;9.05434;6.10278;33.8358;14.5535;1.24007;348.338;556.996;10.9
14:00;1.59177;6.10034;3.96148;26.6963;14.0598;1.05233;336.97;539.921;7.8
15:00;1.49645;6.17314;4.55185;29.2202;14.5156;1.27471;341.714;532.211;8.2
16:00;1.49796;8.20677;4.74618;31.3006;15.8867;1.81023;362.367;481.206;10.9
17:00;1.264;7.92779;3.99694;31.9788;14.7886;0.851077;319.864;370.824;9.3
18:00;1.24278;20.815;3.54992;28.1623;15.4686;3.2422;374.806;349.913;25.7
19:00;0.976625;29.0872;2.83763;31.2077;17.3622;4.66863;415.481;357.105;36.2
20:00;2.99671;35.6737;2.47114;36.7648;19.5851;4.60628;422.384;365.241;42.7
21:00;2.33504;24.7951;2.29159;37.5184;23.1547;4.05379;439.681;376.658;31
22:00;2.21301;36.4256;1;41.9947;25.3686;6.52839;474.492;393.849;46.3
23:00;2.80297;44.3896;2.16154;43.6512;25.8446;8.15919;505.672;414.343;56.9
00:00;2.29005;31.9614;2.15342;50.9516;34.4269;5.17886;503.72;432.012;39.9
01:00;3.47277;30.7063;2.49109;65.2798;44.3465;6.86162;503.17;454.926;41.2
