CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4.5;13;85;64;52;1320;93
01:00;5;12;78;60;45;1240;80
02:00;6.2;10;81;62;36;1400;65
03:00;6.2;21;62;46;11;1060;37
04:00;6.5;13;49;37;2;630;16
05:00;5.4;13;47;35;2;580;16
06:00;5.2;14;57;43;4;1000;19
07:00;5.2;16;48;36;13;750;36
08:00;4.7;11;47;35;5;560;18
09:00;4;8;48;34;4;520;13
10:00;3.9;;52;37;;;
11:00;3.9;10;54;39;6;610;19
12:00;3.8;10;53;39;5;560;17
13:00;3.6;13;49;37;5;540;21
14:00;3.2;18;44;32;7;490;28
15:00;2.6;19;55;33;5;590;26
16:00;3.2;14;48;32;3;490;18
17:00;;14;47;29;2;510;17
18:00;2.4;9;41;31;1;430;11
19:00;3.6;23;58;39;13;650;43
20:00;5.2;38;57;36;85;1210;168
21:00;3;24;65;44;58;1160;113
22:00;3.9;21;74;54;71;1340;129
23:00;4.2;20;79;58;77;1350;137
