CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;34;10;38;4;510;40
01:00;28;10;42;5;470;35
02:00;14;8;34;3;360;17
03:00;13;7;31;2;370;15
04:00;17;7;34;5;350;24
05:00;28;9;38;15;400;50
06:00;28;10;43;14;480;49
07:00;37;12;41;20;550;68
08:00;38;14;44;20;560;68
09:00;33;13;33;19;550;61
10:00;29;13;37;15;490;52
11:00;29;12;35;15;490;52
12:00;36;11;29;19;470;64
13:00;34;8;23;17;550;59
14:00;21;8;23;12;510;40
15:00;15;6;29;8;370;26
16:00;16;5;13;9;310;29
17:00;15;6;9;6;;23
18:00;17;6;12;5;340;25
19:00;37;9;19;11;510;53
20:00;40;11;17;11;580;56
21:00;48;9;36;16;670;73
22:00;56;7;55;18;790;82
23:00;47;8;44;5;650;54
