CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;13;3;13;5;2;16
01:00;16;4;19;11;2;19
02:00;13;3;15;8;2;16
03:00;8;2;9;5;1;10
04:00;8;3;4;3;1;10
05:00;13;2;5;3;2;15
06:00;18;3;11;5;5;26
07:00;26;3;16;9;10;41
08:00;33;4;22;13;19;62
09:00;38;7;26;16;25;76
10:00;28;11;18;10;16;52
11:00;25;14;14;7;15;48
12:00;24;11;9;3;11;40
13:00;;14;;;;
14:00;;13;;;;
15:00;;10;;;;
16:00;;8;;;;
17:00;;8;;;;
18:00;;8;;;;
19:00;;7;;;;
20:00;;5;;;;
21:00;;4;;;;
22:00;;4;;;;
23:00;;4;;;;
