CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;15.6;49;6;163;112;139;261
01:00;2;26;5;23;16;5;33
02:00;3.5;32;4;46;32;18;58
03:00;9.5;33;4;56;42;18;59
04:00;5.1;30;4;46;37;14;50
05:00;5;39;5;43;34;24;76
06:00;4.5;44;5;36;28;30;89
07:00;2.5;44;7;30;22;18;70
08:00;2;31;5;23;18;11;47
09:00;2.5;51;5;28;18;38;109
10:00;2;44;8;32;21;22;77
11:00;2;32;9;19;12;20;62
12:00;1.5;30;6;10;4;20;60
13:00;1;21;12;17;3;11;38
14:00;1;32;25;30;6;19;59
15:00;1;32;7;37;8;19;61
16:00;1;42;10;41;14;19;69
17:00;2.5;44;6;47;21;20;75
18:00;3;42;7;50;28;17;68
19:00;3.5;61;7;85;42;51;139
20:00;7.9;57;6;152;97;89;191
21:00;9.1;65;7;120;69;139;277
22:00;8.9;53;7;193;131;135;258
23:00;17.4;45;7;227;167;143;262
