CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;11;96;78;770
01:00;9;67;64;530
02:00;17;99;71;1160
03:00;17;65;52;1120
04:00;18;76;60;840
05:00;16;63;53;840
06:00;15;82;61;1080
07:00;13;68;52;810
08:00;10;72;54;610
09:00;8;59;51;530
10:00;10;62;53;510
11:00;26;60;52;480
12:00;33;94;71;1010
13:00;24;71;55;640
14:00;23;61;50;570
15:00;18;64;51;540
16:00;10;62;51;480
17:00;8;59;52;460
18:00;7;58;51;460
19:00;6;62;54;480
20:00;6;63;56;490
21:00;6;61;57;490
22:00;6;69;63;550
23:00;8;70;61;740
