CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;3.19343;20.5929;2.41447;52.3931;31.2577;51.9916;670.991;467.26;100.356
01:00;2.03245;20.053;2.55117;54.4985;33.7751;39.2687;621.89;513.931;80.2945
02:00;0.96582;16.4065;2.53956;19.577;13.1846;1.68554;281.312;314.046;18.9948
03:00;0.79278;15.2009;2.20041;18.2226;12.4105;2.13964;278.83;312.414;18.478
04:00;0.80088;18.3627;1.98096;20.4345;13.5226;2.48846;282.574;306.531;22.1823
05:00;1.59547;20.9941;2.65113;25.6929;17.0218;2.94396;313.618;310.256;25.5109
06:00;2.33423;28.5281;3.22747;28.6698;18.4137;8.49034;437.69;317.077;41.5535
07:00;2.47453;27.2225;2.92969;29.3706;18.5768;11.5081;426.384;326.218;44.88
08:00;2.43546;26.3553;2.83881;32.9745;20.7496;12.4277;404.863;337.418;45.4295
09:00;1.64987;18.6156;3.17944;26.5383;17.354;7.38155;315.307;342.572;29.947
10:00;1.10688;15.5224;4.38235;26.3944;16.4405;7.7359;270.034;341.163;27.3947
11:00;0.874756;12.2028;3.40997;24.4425;15.467;5.24017;251.889;337.795;20.2406
12:00;0.97334;9.26051;4.16586;19.18;11.7429;3.24289;247.993;333.472;14.2391
13:00;0.86966;7.83745;5.70201;22.5746;14.3323;3.00804;227.359;322.69;12.4515
14:00;1.1832;9.90775;7.95266;34.3848;15.279;3.1272;257.433;300.158;14.7035
15:00;1.51479;9.94016;10.4132;39.1641;16.859;2.83034;314.841;286.215;14.2768
16:00;1.04418;12.1082;11.6552;20.307;12.4659;3.72611;257.442;267.787;17.8233
17:00;1.03122;12.2081;10.9629;33.8693;18.2304;2.2969;248.524;259.439;15.7296
18:00;1.41649;20.2629;7.76794;28.983;11.76;2.22486;260.74;258.278;23.6792
19:00;1.85749;20.5515;3.55479;89.886;50.4298;3.0361;394.793;276.141;25.2133
20:00;2.15914;18.1182;2.91987;100.844;58.8321;3.01947;490.481;306.452;22.7519
21:00;2.99406;25.902;2.53934;62.9081;36.7759;10.7433;503.943;341.025;42.3862
22:00;2.83543;32.2234;2.49649;50.6806;29.888;26.5441;538.592;376.17;72.9608
23:00;3.07881;26.3298;2.72924;56.2854;32.388;47.7525;630.016;415.566;99.5966
