CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.5;21;7;39;27;58;680;110
01:00;4.5;27;6;38;27;34;610;79
02:00;3;11;11;89;54;86;1150;142
03:00;4.2;14;9;70;47;58;960;104
04:00;;14;9;77;44;69;980;119
05:00;;11;9;67;42;62;950;106
06:00;4.2;10;9;54;40;92;1120;150
07:00;4.5;16;15;98;74;133;1480;220
08:00;5.2;14;14;72;54;159;1450;255
09:00;8;20;12;74;50;171;1430;282
10:00;6.5;32;10;72;40;157;1410;271
11:00;14.5;51;11;84;38;139;1300;262
12:00;4.9;49;9;63;34;83;990;175
13:00;;37;8;42;23;34;650;88
14:00;;29;7;38;21;21;580;61
15:00;1.5;35;8;33;20;22;610;68
16:00;1.3;25;7;21;14;16;450;50
17:00;1.8;25;6;14;11;18;470;51
18:00;1.3;32;6;12;10;18;460;59
19:00;2.8;28;5;16;12;12;440;46
20:00;1.2;28;6;22;17;12;450;45
21:00;2.8;29;6;22;18;9;450;41
22:00;2.6;32;7;22;17;11;490;50
23:00;1.2;25;7;31;22;18;580;52
