CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;14.3;35;114;102;2060;190
01:00;14.3;16;114;85;1930;146
02:00;12.8;15;114;72;1890;125
03:00;12.3;12;114;53;1790;94
04:00;12;14;114;46;;85
05:00;12;14;114;44;1850;80
06:00;11;21;114;44;1620;87
07:00;9.8;24;114;55;1660;107
08:00;8.8;28;114;64;1790;125
09:00;8.6;;114;;;
10:00;8.3;36;114;64;1640;133
11:00;7.8;37;114;47;1520;108
12:00;7.1;32;114;24;1280;68
13:00;7.1;30;114;22;1300;63
14:00;5.7;32;114;18;1080;59
15:00;5.2;40;114;22;1050;74
16:00;5.7;41;114;18;1000;68
17:00;6.1;49;114;46;1200;119
18:00;8;56;114;166;1760;309
19:00;14.5;44;114;148;1890;270
20:00;12.8;61;114;302;2670;521
21:00;16;50;114;297;2950;503
22:00;17.6;49;114;290;3330;491
23:00;17.4;42;114;136;2350;250
