CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;0.8;5;58;220
01:00;0.4;5;34;220
02:00;2.3;5;51;820
03:00;2.3;5;28;730
04:00;2;3;45;630
05:00;2;4;38;700
06:00;1.8;5;36;670
07:00;1.8;4;37;740
08:00;2;4;42;770
09:00;1.8;4;49;
10:00;0.6;2;49;390
11:00;0.4;3;29;410
12:00;0.4;4;17;450
13:00;0.4;3;23;430
14:00;0.4;4;13;390
15:00;0.4;2;16;480
16:00;0.4;2;10;490
17:00;0.4;3;16;470
18:00;0.4;4;11;550
19:00;0.6;6;13;700
20:00;1;4;14;720
21:00;1;4;20;760
22:00;1.3;4;40;700
23:00;1.5;5;40;560
