CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;25;2;82;60;117
01:00;20;2;85;40;81
02:00;27;2;26;16;52
03:00;35;2;27;15;57
04:00;30;2;26;8;42
05:00;22;1;26;12;39
06:00;26;2;28;43;91
07:00;25;2;29;71;133
08:00;32;2;32;77;148
09:00;41;4;33;67;142
10:00;43;;;48;115
11:00;39;;21;33;89
12:00;30;16;10;17;56
13:00;28;13;;12;46
14:00;30;11;;14;51
15:00;34;10;46;15;57
16:00;34;11;;12;53
17:00;36;9;9;15;58
18:00;43;7;;16;67
19:00;46;5;;10;61
20:00;40;2;;50;116
21:00;36;2;;83;162
22:00;33;2;;91;171
23:00;28;2;78;66;128
