CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5;11;3;22;620;44
01:00;3.9;12;2;29;830;57
02:00;8.4;8;3;41;1220;71
03:00;7.3;9;3;36;1060;63
04:00;6.5;7;2;28;1040;50
05:00;6.1;9;3;26;950;48
06:00;5.3;16;3;24;;53
07:00;5.2;19;3;26;760;58
08:00;5.2;21;4;24;790;58
09:00;5;20;4;18;800;48
10:00;4.5;20;5;17;800;45
11:00;3.6;22;5;12;500;40
12:00;2.1;21;5;11;370;36
13:00;1.7;16;5;6;280;25
14:00;1.4;16;3;4;240;21
15:00;0.7;11;3;3;180;16
16:00;0.4;13;4;4;180;19
17:00;0.9;20;4;6;260;28
18:00;0.4;13;3;2;140;15
19:00;0.6;16;3;2;220;18
20:00;1.5;10;3;1;340;12
21:00;2.1;9;3;2;440;12
22:00;2.9;19;2;30;660;64
23:00;5.4;16;3;35;750;69
