CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;7.6;5;43;31;300
01:00;5.7;4;27;19;340
02:00;4.5;2;24;16;340
03:00;2.9;3;23;16;290
04:00;5.9;3;28;17;330
05:00;5.7;3;43;18;470
06:00;5.5;3;45;16;400
07:00;8.4;2;35;14;410
08:00;5.7;2;27;12;450
09:00;3.9;4;;13;630
10:00;3.8;5;;14;900
11:00;2.5;6;;12;720
12:00;2.3;6;99;14;760
13:00;2.3;5;65;13;590
14:00;1.6;5;53;14;420
15:00;3.3;5;33;18;460
16:00;1.9;6;34;23;340
17:00;1.9;6;30;20;230
18:00;2.1;4;35;18;270
19:00;2.5;3;37;23;290
20:00;2.5;4;30;21;280
21:00;2.1;4;27;20;250
22:00;4.4;4;30;23;290
23:00;5.9;5;34;25;480
