CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;36;10;69;2;580;39
01:00;1;24;9;41;1;460;24
02:00;6.5;38;6;59;19;1020;67
03:00;5.9;34;5;55;12;870;52
04:00;4;31;6;32;16;850;56
05:00;3;30;5;21;29;950;74
06:00;3.5;27;5;46;40;850;87
07:00;4;29;6;66;21;760;61
08:00;4.8;30;8;73;13;730;50
09:00;19.8;16;13;139;3;510;21
10:00;5.9;10;7;97;2;370;13
11:00;1.4;6;6;51;1;300;7
12:00;0;7;10;30;2;;9
13:00;0;8;9;34;2;320;10
14:00;0;8;6;18;2;300;10
15:00;0;7;6;20;1;270;8
16:00;0;8;5;45;1;280;10
17:00;0;11;4;33;2;290;13
18:00;0;9;3;30;1;310;10
19:00;0.2;23;9;15;0;610;24
20:00;5.8;49;8;20;5;650;57
21:00;1;51;8;31;5;710;58
22:00;1;73;7;28;13;750;92
23:00;2;49;9;26;3;690;53
