CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;29.3;7.51701;62.589;36.4158;38.2302;900.713;651.208;87.9
01:00;27.9;7.73351;60.3355;37.2679;17.3717;746.538;688.21;54.6
02:00;19.7;7.70691;29.519;13.7189;1.78318;305.977;397.601;22.5
03:00;43.6;8.50638;38.0141;21.381;3.35685;397.508;419.22;48.8
04:00;32;9.24232;36.7195;21.4946;3.24428;360.885;433.419;37
05:00;24.5;8.87583;34.8067;20.7001;2.74063;349.6;433.555;28.7
06:00;31.5;8.37412;39.3571;20.9338;8.02826;409.582;417.917;43.8
07:00;38.6;8.41181;42.4796;22.7612;13.9047;452.156;410.969;59.9
08:00;41.2;8.70145;41.3418;22.4422;13.3249;499.623;381.735;61.6
09:00;55;9.18321;49.976;25.0111;26.4115;630.226;425.695;95.6
10:00;48;9.15217;49.2383;25.051;19.6742;565.857;458.18;78.2
11:00;39.7;9.92653;44.3539;25.3515;12.8268;526.709;474.33;59.4
12:00;33.8;16.7886;34.0889;18.1615;9.12596;499.455;491.651;47.8
13:00;24.5;16.3778;27.8184;14.4233;2.81822;402.326;498.242;28.8
14:00;27.7;12.0353;45.0026;21.9299;3.27892;546.453;515.351;32.7
15:00;29.2;14.9923;44.3657;22.601;3.60868;515.787;523.305;34.8
16:00;32.4;15.5074;33.5331;17.9436;5.11097;453.505;517.54;40.3
17:00;37;14.0296;32.4938;18.3353;4.85672;450.522;495.077;44.4
18:00;47.2;12.7942;34.6904;19.9679;5.94646;509.95;488.088;56.4
19:00;56.3;11.926;39.276;21.4825;10.6681;507.749;485.718;72.7
20:00;49;11.2388;43.6713;23.1396;6.3545;534.107;490.05;58.7
21:00;34.4;9.80313;74.2534;36.341;3.87297;752.36;533.804;40.3
22:00;23.9;8.81376;55.1381;30.8137;12.754;682.431;550.801;43.4
23:00;34.9;8.02537;65.6595;34.1174;34.1054;871.831;595.307;87.2
