Godzina[hh:mm];Temperatura[C];Wiatr[Kierunek,km/h];Zachmurzenie[%];Wilgotność[%]
0:00;-1;W,18;85;74
1:00;-1;WSW,15;75;74
2:00;-1;W,18;35;74
3:00;-2;W,15;75;80
4:00;-2;W,20;75;74
5:00;-2;W,18;35;74
6:00;-3;W,13;35;74
7:00;-3;W,9;35;75
8:00;-5;WSW,7;38;82
9:00;-7;SW,6;;95
10:00;-2;W,15;;80
11:00;-1;WSW,15;35;74
12:00;0;W,13;35;64
13:00;0;WSW,17;35;64
14:00;0;WSW,18;35;64
15:00;-1;WSW,13;35;76
16:00;-1;SSW,6;75;74
17:00;-1;SW,6;75;74
18:00;-1;SW,6;75;74
19:00;-2;SW,9;85;77
20:00;-2;SW,9;85;77
21:00;0;WSW,4;88;75
22:00;1;SW,11;85;86
23:00;3;WSW,18;75;86
24:00;3;WSW,20;85;80
