Godzina[hh:mm];Temperatura[C];Wiatr[Kier];Wiatr[km/h];Zachmurzenie[%];Wilgotność[%]
0:00;-2;NE;6;;92
1:00;-2;NE;7;;92
2:00;-3;N;2;20;100
3:00;-3;NE;2;20;100
4:00;-4;NE;4;20;100
5:00;-4;NE;7;20;100
6:00;-4;ENE;2;20;100
7:00;-4;NE;7;20;100
8:00;-2;NE;7;20;87
9:00;0;E;9;20;93
10:00;2;E;11;20;86
11:00;5;ENE;9;;70
12:00;7;E;13;;65
13:00;9;E;18;;61
14:00;9;E;18;;66
15:00;9;E;20;;66
16:00;9;ENE;20;;66
17:00;7;ENE;18;;70
18:00;4;ENE;11;;80
19:00;3;NE;11;;86
20:00;3;NNE;11;;86
21:00;2;NE;9;;86
22:00;1;NNE;9;;93
23:00;0;NE;9;20;100
