Godzina[hh:mm];Temperatura[C];Wiatr[Kierunek,km/h];Zachmurzenie[%];Wilgotność[%]
0:00;18;N,2;88;72
1:00;17;N,4;85;77
2:00;16;W,4;88;76
3:00;16;N,4;85;82
4:00;16;W,6;85;82
5:00;15;W,7;90;87
6:00;15;W,7;90;87
7:00;15;N,4;75;87
8:00;15;N,2;95;76
9:00;16;N,4;35;72
10:00;16;N,4;75;67
11:00;17;N,4;88;67
12:00;17;N,4;88;67
13:00;19;N,4;40;55
14:00;20;N,4;38;52
15:00;20;N,6;35;52
16:00;19;N,6;85;59
17:00;19;N,4;85;55
18:00;19;N,4;85;55
19:00;17;N,4;35;72
20:00;16;NE,4;75;78
21:00;16;NNE,7;75;77
22:00;14;NE,7;35;87
23:00;14;NNE,9;40;93
